 IYEAR=1997 IDAY=350 IHOUR=21 MIN= 0

   SOLAR WIND RAM PRESSURE (NANOPASCALS):  0.00

   DST-INDEX: 110.00

   IMF By and Bz:    3.00 -20.00

    DIR :   0.00
    R0 :   1.00

    XGEO, YGEO, ZGEO:   4.00  0.00  0.00

    XGSW, YGSW, ZGSW:   -2.8   2.7  -0.7

  THE LINE IN GEO COORDS:

    0.97 -0.15  0.21
    0.97 -0.15  0.21
    0.98 -0.15  0.21
    0.99 -0.15  0.22
    1.00 -0.15  0.22
    1.06 -0.16  0.24
    1.13 -0.16  0.27
    1.22 -0.17  0.30
    1.32 -0.17  0.34
    1.46 -0.18  0.38
    1.64 -0.19  0.43
    1.86 -0.19  0.48
    2.13 -0.19  0.52
    2.48 -0.17  0.54
    2.68 -0.16  0.53
    2.89 -0.15  0.51
    3.13 -0.13  0.46
    3.37 -0.10  0.38
    3.60 -0.07  0.28
    3.81 -0.04  0.15
    4.00  0.00  0.00
    4.17  0.04 -0.18
    4.32  0.08 -0.37
    4.44  0.12 -0.59
    4.54  0.16 -0.82
    4.61  0.19 -1.05
    4.65  0.23 -1.30
    4.67  0.26 -1.54
    4.67  0.30 -1.79
    4.64  0.33 -2.04
    4.58  0.35 -2.28
    4.50  0.38 -2.51
    4.40  0.39 -2.74
    4.22  0.42 -3.07
    3.98  0.42 -3.36
    3.84  0.42 -3.49
    3.70  0.42 -3.60
    3.54  0.41 -3.70
    3.37  0.40 -3.78
    3.19  0.38 -3.83
    3.00  0.35 -3.86
    2.82  0.32 -3.85
    2.64  0.29 -3.82
    2.47  0.25 -3.75
    2.31  0.21 -3.66
    2.16  0.18 -3.56
    2.02  0.14 -3.44
    1.88  0.10 -3.31
    1.76  0.07 -3.18
    1.64  0.04 -3.03
    1.48 -0.01 -2.81
    1.32 -0.04 -2.58
    1.10 -0.09 -2.22
    0.94 -0.11 -1.93
    0.81 -0.12 -1.69
    0.72 -0.12 -1.50
    0.64 -0.11 -1.34
    0.58 -0.11 -1.22
    0.54 -0.10 -1.12
    0.50 -0.09 -1.04
    0.47 -0.09 -0.97
    0.45 -0.08 -0.92
    0.44 -0.08 -0.91
    0.44 -0.08 -0.90
    0.44 -0.08 -0.90
